Class,Tumor,Tumor,NAT,Tumor,Tumor,Tumor,Tumor,NAT,Tumor,Tumor,Tumor,Tumor,NAT,Tumor,Tumor,NAT,Tumor,NAT,Tumor,NAT,Tumor,NAT,Tumor,NAT,Tumor,Tumor,NAT,Tumor,Tumor,NAT,NAT
MB_31,14759724.2540836,7801318.7442753,3466156.14153097,16274317.5812942,6820466.34187769,14905985.1129962,12002158.0767171,9968674.88032805,13723383.2182677,10124683.7149954,1753394.84756185,11172210.8812939,6080203.93143979,12775495.8496963,28738326.7613256,20348175.6525383,10942136.4368826,12072166.916656,17864605.9598087,15164888.5102481,5188194.69176504,7723964.87798371,27051695.5568972,8516707.43822195,8299708.61742007,8585586.68507729,8136123.75939814,4305947.05114275,18762692.8921722,8621948.7701938,19905537.9188679
MB_32,31506841.1889137,12820739.8652235,69719226.4192683,46824937.1702543,33984587.4677918,20705787.3162676,55073003.3726256,27548697.2107756,47552034.3856845,60313380.156146,86779642.9492691,7075870.07561179,43516199.1556676,49261891.6460935,15935136.8075963,28888798.4803026,34018593.6480991,68367245.1087028,62545137.573912,51950753.5874639,84301096.4830649,55318423.808022,54811367.7607771,57923386.6163969,3721010.78469491,57397354.3144039,54952394.1131263,85150889.0892679,70971983.4523708,70940885.9677022,25356263.7311202
MB_33,7349372.94233736,7896538.52129785,3624992.40878652,5813609.83691076,12784221.3227143,9086439.83279442,3538201.21099676,12159148.6281869,7442808.43460386,7450518.7676058,8644970.46942581,8137314.50683841,6226092.77059899,7382796.98955834,9774246.51676674,7996112.55494917,9384078.30637737,8306585.54678158,13828767.448456,10732163.0510632,1131624.10163595,9412527.26845448,3158979.67317107,9259327.14029996,8327824.82276987,9648820.87809085,5675977.68476944,7349440.74163334,2680625.67387787,4671874.34502048,7068286.03920134
MB_34,4128453.30577947,5053936.70766989,10691770.6086315,4751535.52937666,6562431.28199159,5097409.97118854,5464562.49920455,6269877.9241927,6611766.27186756,6593563.56606585,5587201.43820141,4568210.01793741,3894095.88947229,4951152.20882841,4042645.53907243,5952746.97009343,5083271.03621699,5886483.74796785,7627869.17205817,8192313.2005692,2761631.24708301,6690406.3368475,4053786.629604,6115510.3713654,9091829.57861684,7118978.29962988,3926618.91738773,7571332.522193,7589158.08913335,6200850.90860019,8376768.13457943
MB_35,7714923.62369706,3816681.82080398,1520270.2433214,10111977.5478961,7727204.73496026,9193777.14838565,6102597.03358252,9522990.95964981,10513564.3479907,7120910.50038916,6114786.48553758,8341839.76578602,7702181.28152537,7449910.78268592,6977373.26188736,3202809.78014943,8112467.46304821,7468391.38427493,7884885.43890727,5072690.89221952,6503260.74794003,6220494.77818881,7950814.09874775,9176201.55114903,8110954.35355504,8224008.41000883,7100443.00768284,6709279.47717852,11108960.9946707,5279434.05310899,7412329.00549578
MB_36,6479915.06069532,4477063.9781111,5007616.88580779,4354711.75040191,5497923.50762145,8031905.12251066,4816982.73815369,8975486.88453319,6403551.69107797,2458844.65892095,6726168.72407376,3537840.89213487,6079542.57383309,5381798.30580858,6519382.18826667,5350259.22830935,5137199.09536056,5987358.61254525,5601434.94973982,5805984.12862994,4569843.74482646,4307099.65732607,7353429.99940583,5579897.24038575,4439419.42559775,7125741.52477709,8741511.15695355,3879486.37717376,5220419.75409363,3261788.89176522,7120171.28733236
MB_37,4918222.74272065,1043237.991018,3730612.50770661,5131678.84118234,6686228.57495824,3166428.75081369,2880847.7186245,4099938.96897485,3697902.520076,5031401.85181026,4519744.3368354,3793030.87565125,4662309.70295154,4442817.93873364,4529328.6080348,4754110.50734551,3450169.67993219,8153501.62472314,4536398.38128859,3944932.03899294,4774640.01285004,4187357.85269387,4146175.72823707,2961046.05474326,4203012.78908241,4644723.68701624,4771817.67020941,3792593.49021483,4014015.76827317,4821204.5344324,2062545.27524857
MB_38,4492447.20827958,6841049.44575815,5642790.52116462,4993902.41211484,6581702.44788112,3932410.93931214,4354815.97770165,4824710.5068541,4246916.23722206,3448925.00045809,3113619.97226236,4261524.94275038,6143766.9561582,7434396.00959102,5452219.34116369,5401295.09543066,8633636.98888231,6631165.62513211,4735856.50602832,4029221.25761061,6334078.91045894,6221961.28244801,5670410.62041832,4987921.3981507,3082142.73982728,7019429.10017979,3550832.12477585,3393330.44555371,6307162.45434134,5190224.43015909,7278944.70983011
MB_39,12461836.6751852,2857244.26037553,8800205.36350277,8782097.70643328,11461193.6018497,13361517.5164709,16947064.0516299,15549824.1937246,1370194.48324082,9031217.16721875,14797415.3511431,15046962.8818079,8298291.01343733,19575577.16935,6918375.49852454,9606922.08035577,21463785.1802692,8813032.49532009,14186765.8518684,10199757.3355824,13003267.0380691,13008560.6852072,19700213.914247,11856344.9035607,3820775.81639831,15244320.6893465,16222298.3886799,10251187.4780261,11767306.3660042,8208427.07374119,16575450.3304709
MB_40,6635936.18262264,10889950.912907,11346154.9631474,16323620.9148356,49957013.8467115,4634799.34020208,4757717.92254874,7156793.23210217,6373536.16642844,8311172.48307042,4382571.28225814,8266829.75325837,6621867.89684495,6547505.92003789,6312451.31693782,8310703.91425561,5737133.25550066,16224727.3123968,5612496.2189377,4888999.62662677,8673050.21968985,6449996.41761152,6160808.87125662,5265033.48948218,5013990.06873008,4732057.40368447,6633987.70575262,8839213.39445842,8412013.13894649,7353032.06689385,4634914.5079419
MB_41,34595202.0294701,54540074.1624547,3994051.92163616,56501099.9790752,43864491.7545459,17955386.6053966,55014209.7913066,10830175.4947375,17776561.5962284,43624364.7521765,68054710.9686736,64066056.9640339,18694032.1471235,26227621.9678215,53034254.6725842,40156425.252029,85327431.982501,40809623.273956,39975593.1521164,36919438.6369713,37806855.6720247,41396067.5166395,34162471.037847,49312398.3140198,6904299.9780665,45170628.0098463,28843175.4859174,65825985.7194068,18594624.9093822,41072795.4689551,48810950.1240159
MB_42,92389804.5431046,34140932.8455493,64732183.733189,42618082.3126152,36648469.1913235,17348511.3701347,15700396.2298615,101992800.27281,134966522.585031,128191928.68157,59724483.6054772,74150652.2934795,62930012.4343549,64354038.6905458,89442804.037028,85712799.0324208,30752637.6029325,42487009.9007135,63184455.023975,8111330.50854481,68030163.3222967,86830014.3072558,88014146.0670186,41071385.536544,88620465.3586763,58755023.17725,73210900.7246764,127127517.22365,52322253.4877067,126443442.544083,38958589.9775315
MB_43,7943571.37807742,36543283.0807146,12675469.8210058,8053824.11217059,27611409.8392552,6608121.75470539,244207765.205041,30068472.582355,14094288.1869731,20600572.7524705,66694684.6554397,6888336.22772747,24321652.7184951,23165267.7323792,24040717.0570896,29967143.1648981,39748088.3148935,23457064.4953537,13663009.7222807,8393613.12241707,2416904.21370093,34037280.4458014,8673312.20111264,12148090.5643821,122577799.161279,16796836.2582554,16028869.9702252,30761800.7913386,10554388.1205626,16405585.7656789,29578712.3423195
MB_44,4864303.19389348,5054880.61207079,6344570.4185364,6213925.70003891,3990719.87666544,5295435.39949985,1420285.5178396,6862100.40558102,6604363.5025669,4004649.63503144,3657632.12258042,7527876.14877614,4139154.65142209,4583699.45795112,5438909.00256788,5497480.25687888,5186239.31753299,5620556.87038053,5721428.45995022,6532253.11315349,4573208.48048254,6060536.31744517,4881142.58119799,4446037.41639654,3853473.56804518,8023089.62905569,6360525.75039234,4876295.78884557,4992067.80114937,5661478.23307589,6075691.1290039
MB_45,6614467.82640348,9588527.52278793,7984268.63811468,5669674.42531395,21745100.4812496,5597193.31086772,34049.1090926863,4815664.23969356,4915304.68319888,3739290.17846337,4569550.03871769,2110182.70586371,6241371.35668561,6061226.93730706,1825799.11029916,5251536.83948104,4779327.69677224,7092035.46049389,4176707.80883505,2261172.9271156,5713901.11829858,6568352.59469255,3467999.82682438,5309676.82100955,6645734.44710975,9396340.94592233,6513374.01716457,6964230.72360246,8913306.84632161,10838497.57244,12561788.3057681
MB_46,16621263.0525679,11515334.6954719,3869596.92992575,10486973.0125559,15004292.841726,8492427.92134747,17390443.7212892,23609640.8638807,14198598.7745292,9136942.37426398,10544603.5344582,24168729.5342356,16804962.3206776,20194803.9435955,8089775.82086513,7380122.88486408,15492684.6419261,3415613.83547506,20280477.6971186,27989683.4364336,14901045.0946744,14982898.0271595,20480141.4333253,11156028.3870227,6617380.67429047,17389399.2517241,8408528.81117581,24368689.5567686,2854683.75327093,21765384.0188197,5172198.52551885
MB_47,27899106.3757341,48926721.022539,17360291.8213252,31553089.0243896,220532455.404055,14869285.0657643,72419328.1883238,68092585.372824,40963776.4339413,63825643.5099203,29254878.2152616,46459288.4751549,21478433.1933847,31792682.3184669,49684369.5835043,30297403.0609355,27221108.3959511,11650532.5082097,54749905.9139702,7046482.49013926,63396468.7585449,36315347.0635549,22032410.813052,48936252.7155862,37752445.9492701,39138017.7637959,19768412.0293761,44950774.1249253,22395325.7256852,28891242.4160344,23284249.6865956
MB_48,43991816.1058937,38493371.8871745,38404490.7505528,7280624.79689739,10810218.1831517,31602366.5043297,43077646.7771839,40981866.592205,5827627.81375363,38850512.3048686,5399041.1277554,29432940.7922364,42265299.4850104,57629449.7071722,15159845.1755603,46884940.2215223,1847517.39686825,42471785.5079689,29587961.9699377,50903454.787902,48077281.2110776,38396420.453037,40938614.8588835,18391484.2621241,26336947.4970414,35260572.9511009,23714178.7270843,36099140.6206082,3097218.66916591,20487915.1334212,27088621.3825487
MB_49,13036319.0757215,14468217.4161279,35741658.340702,18278047.783373,27231871.8804185,26499319.9983716,56851765.288344,5678429.89671062,21116170.6885069,5668558.31786272,26272888.4360661,15828651.4752579,15080864.0681199,45092311.6328513,30315944.2641662,30436298.5126679,37500254.8991754,26596536.3486546,11148777.2519198,21623484.7473794,19827160.4069156,8804300.69566088,19585176.8749175,24534866.9161501,17024590.4574675,8752059.48871818,19999776.8262449,26417949.9787294,21984221.5614035,20901381.269141,30523697.125403
MB_50,25598600.7972012,32591447.9942815,44696731.6471746,46404948.3525254,23936314.6169983,18675426.7187174,29134096.9967427,26976244.1966664,27291771.5858635,19093049.2535115,42619298.5524241,59205418.8713485,12793743.0428046,20628538.2322719,84659599.4770819,46740304.3939957,37499816.7774775,18721338.2786648,29911408.7870367,24547672.2467011,32722683.3053927,38579011.5792106,28230743.9978019,47854372.9154492,37586828.4993387,5999614.6905235,39643531.8263792,26503057.7293677,19326482.8261625,21953526.7273527,16128409.4632776
MB_51,5088532.57026095,10879416.5630985,11848143.4628032,9332327.28891917,19794329.1062464,8799270.0751051,12844300.1976659,13662661.4524237,24195985.7081867,7615523.84155537,14883701.2566202,18990164.8377357,10026362.1767426,20595369.8168743,6769932.46116882,17537149.1954756,3233950.58432568,8482710.58977129,17803761.5964197,9474759.64663288,8344160.42742348,14575258.4206188,4774769.12440233,10738056.8112178,11169573.7952001,11481562.3776462,14379618.0716088,11581999.1449739,19680874.8869504,17495623.0117169,7048488.18463286
MB_52,17832864.4461469,11187721.3742676,8162002.82160158,9040532.23211786,16604137.3347703,11405812.4687042,15896226.0385979,6828999.20493833,12054244.9637613,17830266.2124725,16993441.8769947,13575993.2879264,7380142.90457734,4106316.63635996,12632658.4329863,8313908.16927765,15012420.3955092,7729459.19102598,11345108.8566386,11587825.3202016,13858789.8048842,12124670.6775893,10350773.9591076,16271509.5659226,1832187.58419898,1115938.02129414,8222485.81402747,13685474.5676195,15085364.7675728,10363458.3200573,11276729.7582387
