"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"P12035",0.10191,0.7326,0.81934,0.80564,0.85544,1.1349,1.1295,1.1252
"Q15631",0.10183,0.16815,0.17316,0.17198,0.16889,0.23712,0.23566,0.23753
"Q12765",0.10131,0.10472,0.15766,0.18926,0.18656,0.18411,0.19248,0.2089
"Q9UBB4",0.10099,0.16695,0.18155,0.17869,0.26345,0.26057,0.26175,0.26564
"Q04837",0.1005,0.10848,0.15163,0.17512,0.17263,0.17475,0.17366,0.1732
"Q14161",0.10021,0.10575,0.3444,0.33832,0.33898,0.34446,0.35938,0.37185
"P62847",0.10003,0.22336,0.23449,0.25762,0.26544,0.26809,0.27149,0.27584
"Q08357",0.099929,0.094635,0.19603,0.54101,0.58662,0.6445,0.67294,0.6798
"Q8IYI6",0.099664,0.36087,0.35916,0.3594,0.39529,0.41742,0.41489,0.41374
"P50990",0.099211,0.099637,0.09903,0.13234,0.13205,0.16292,0.16191,0.16129
"Q9Y5Q8",0.098854,0.18918,0.21585,0.25785,0.2953,0.29218,0.30474,0.30664
"Q05519",0.098753,0.11214,0.11113,0.13962,0.1574,0.17162,0.20581,0.20894
"Q92922",0.098294,0.15822,0.15762,0.20955,0.2541,0.27005,0.29275,0.30207
"P39019",0.098192,0.25372,0.26022,0.25912,0.26176,0.26,0.25837,0.25816
"Q9Y5X1",0.097781,0.089058,0.20372,0.41993,0.43637,0.43187,0.45082,0.44974
"P14174",0.097358,0.17859,0.18568,0.19767,0.20216,0.25195,0.25172,0.2752
"P60660",0.096702,0.094035,0.092951,0.19324,0.24872,0.24869,0.25414,0.25465
"Q9Y2W2",0.096643,0.28083,0.27852,0.27488,0.29562,0.29252,0.31156,0.31644
"P61019",0.096527,0.17778,0.22125,0.21735,0.21777,0.25507,0.2866,0.28854
"Q9BV20",0.096036,0.36927,0.3679,0.38504,0.37851,0.41855,0.42659,0.43568
"Q96DB5",0.095688,0.25157,0.27991,0.3791,0.37974,0.40552,0.40669,0.40527
"Q9Y5K6",0.094599,0.091874,0.17698,0.17755,0.32725,0.40013,0.43266,0.43148
"P62861",0.094357,0.48454,0.47745,0.46938,0.52163,0.59665,0.59884,0.59676
"P62993",0.094316,0.22062,0.24688,0.24505,0.24071,0.28075,0.28052,0.28039
"Q9NZL9",0.0942,0.1113,0.1138,0.13228,0.1517,0.18018,0.18954,0.19334
"Q96CP2",0.093892,0.11368,0.23422,0.25156,0.29617,0.29292,0.30512,0.30422
"O00764",0.093703,0.10816,0.11456,0.2442,0.27688,0.27568,0.29411,0.30646
"Q9NUP9",0.092753,0.76787,0.75473,0.74294,0.73576,0.75791,0.75991,0.75742
"Q9H330",0.092651,0.21159,0.25863,0.26196,0.26749,0.3417,0.35326,0.35244
"P61353",0.091832,0.2144,0.24218,0.23788,0.24327,0.26205,0.26148,0.26353
"O75506",0.091685,0.31695,0.32172,0.38288,0.39866,0.46416,0.46367,0.48294
"P05120",0.091558,0.72125,0.71053,1.0214,1.1985,1.2456,1.2599,1.256
"Q9NVT9",0.091439,0.22426,0.23663,0.26972,0.40221,0.4537,0.4513,0.45077
"O60869",0.091087,0.27058,0.26668,0.27182,0.27407,0.32124,0.32316,0.32228
"P00338",0.090935,0.47451,0.46951,0.50444,0.5025,0.49964,0.51023,0.50902
"P46783",0.090887,0.25177,0.27038,0.27309,0.26974,0.32497,0.32333,0.32252
"P07237",0.090648,0.21893,0.25037,0.29763,0.30508,0.32328,0.35621,0.35524
"Q05086",0.090492,0.1231,0.15333,0.19501,0.29609,0.29654,0.29763,0.30046
"P30679",0.090141,0.47189,0.47552,0.52415,0.53296,0.52595,0.54581,0.54385
"Q5TFE4",0.089736,0.42933,0.44732,0.43942,0.45492,0.45288,0.4611,0.46224
"O43447",0.08953,0.24801,0.25449,0.27656,0.307,0.31777,0.3162,0.31686
"Q96JB5",0.089409,0.38895,0.40915,0.40571,0.54154,0.53511,0.53258,0.53057
"Q5BJD5",0.089381,0.13504,0.35912,0.54589,0.53817,0.57193,0.63819,0.65791
"P41240",0.089363,0.31581,0.32791,0.32608,0.32946,0.33063,0.32927,0.33915
"O60884",0.088864,0.20227,0.19956,0.24349,0.24995,0.25358,0.25662,0.25623
"Q8N163",0.08877,0.28632,0.32951,0.32577,0.31989,0.32344,0.32337,0.34372
"Q7Z5L9",0.087341,0.14373,0.18233,0.22298,0.23036,0.27846,0.27736,0.28894
"P11441",0.087312,0.15457,0.20515,0.28072,0.38061,0.38128,0.38068,0.38049
"Q96C86",0.087297,0.22271,0.31742,0.32088,0.34528,0.3465,0.34539,0.34939
"P13693",0.08691,0.37164,0.51953,0.5676,0.59084,0.59692,0.68649,0.69117
"Q8WWX9",0.086793,0.083186,0.18181,0.53931,0.52959,0.69745,0.69338,0.70944
"P07339",0.086653,0.28969,0.30509,0.30223,0.30143,0.30471,0.30723,0.30636
"Q93084",0.086649,0.089502,0.09316,0.51848,0.63181,0.78804,0.78954,0.7915
"Q13310",0.086463,0.37242,0.36606,0.36005,0.41225,0.40818,0.40567,0.40431
"Q96S99",0.086223,0.1072,0.13227,0.28972,0.31221,0.31166,0.32476,0.32364
"Q15437",0.086062,0.52774,0.57331,0.56313,0.63125,0.62403,0.62148,0.62621
